,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
1341,Kubo and the Two Strings,101.0,"Action,Adventure,Animation",7.8,105578,55000000,48023088,77548122,22548122,0.40996585454545453,Light
1356,The Book of Life,95.0,"Adventure,Animation,Comedy",7.3,59486,50000000,50151543,97651543,47651543,0.95303086,Light
1359,Wonder,113.0,"Drama,Family",8.0,111632,20000000,132422809,304604712,284604712,14.2302356,Light
1366,Ice Age: Collision Course,94.0,"Adventure,Animation,Comedy",5.7,48932,105000000,64063008,402156682,297156682,2.830063638095238,Light
1380,Anomalisa,90.0,"Animation,Comedy,Drama",7.3,58010,8000000,3759286,5706168,-2293832,-0.286729,Light
1392,Cats & Dogs: The Revenge of Kitty Galore,82.0,"Action,Comedy,Family",4.3,12642,85000000,43585753,113026383,28026383,0.32972215294117646,Light
1395,Rock of Ages,123.0,"Comedy,Drama,Musical",5.9,69910,70000000,38518613,61031932,-8968068,-0.12811525714285715,Light
1399,Hop,95.0,"Adventure,Animation,Comedy",5.4,28893,63000000,108085305,188657593,125657593,1.9945649682539683,Light
1415,Tarzan,94.0,"Adventure,Animation,Drama",4.8,11728,145000000,171091819,448191819,303191819,2.0909780620689653,Light
1420,Miracles from Heaven,109.0,"Biography,Drama,Family",7.1,17734,13000000,61705123,73798736,60798736,4.6768258461538466,Light
1422,Middle School: The Worst Years of My Life,92.0,"Comedy,Family",6.1,6413,8500000,20007149,23311293,14811293,1.7425050588235294,Light
1443,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81.0,"Comedy,Family",6.2,37325,28000000,66954149,101379287,73379287,2.6206888214285713,Light
1466,Finding Dory,97.0,"Adventure,Animation,Comedy",7.3,213542,200000000,486295561,1021215193,821215193,4.106075965,Light
1478,Yogi Bear,80.0,"Adventure,Animation,Comedy",4.6,18934,80000000,100246011,204774690,124774690,1.559683625,Light
1488,Underdogs,106.0,"Adventure,Animation,Family",6.5,8197,2500000,35017,1392649,-1107351,-0.4429404,Light
1502,Christopher Robin,104.0,"Adventure,Animation,Comedy",7.3,52737,75000000,99215042,197504758,122504758,1.6333967733333334,Light
1503,The Star,86.0,"Adventure,Animation,Comedy",6.1,5159,20000000,40847995,62758010,42758010,2.1379005,Light
1509,Hotel Transylvania,91.0,"Animation,Comedy,Family",7.1,204571,85000000,148313048,378505812,293505812,3.4530095529411766,Light
1510,The Last Airbender,103.0,"Action,Adventure,Family",4.1,137734,150000000,131772187,319713881,169713881,1.1314258733333333,Light
1512,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,129663,155000000,104386950,418186950,263186950,1.6979803225806451,Light
1516,Cloudy with a Chance of Meatballs 2,95.0,"Adventure,Animation,Comedy",6.4,81010,78000000,119793567,274392649,196392649,2.517854474358974,Light
1522,How to Train Your Dragon: The Hidden World,104.0,"Action,Adventure,Animation",7.6,60769,129000000,160791800,519258283,390258283,3.025258007751938,Light
