id_x,movie,production_budget,domestic_gross,worldwide_gross,total_gross,net_revenue,original_language,popularity,release_date_y,vote_average,vote_count,start_year,runtime_minutes,genres,imdb_averagerating,imdb_numvotes
5,Paddington,55000000,76223578,258789097,335012675,280012675,en,13.565,2015-01-16,7.0,1904,2014,95.0,"Adventure,Comedy,Family",7.2,84679
16,Free Birds,55000000,55750480,110387072,166137552,111137552,en,11.062,2013-11-01,5.8,410,2013,91.0,"Adventure,Animation,Comedy",5.9,20934
20,Muppets Most Wanted,55000000,51178893,79312301,130491194,75491194,en,9.118,2014-03-21,6.2,473,2014,107.0,"Adventure,Comedy,Crime",6.4,29018
22,Kubo and the Two Strings,55000000,48023088,77548122,125571210,70571210,en,13.847,2016-08-19,7.7,2029,2016,101.0,"Action,Adventure,Animation",7.8,105578
24,Burlesque,55000000,39440655,90552675,129993330,74993330,en,8.676,2010-11-23,7.1,1195,2010,119.0,"Drama,Music,Musical",6.4,71021
27,The Watch,55000000,34353000,67130045,101483045,46483045,en,10.228,2012-07-27,5.4,1356,2012,102.0,"Action,Comedy,Horror",5.7,115757
28,The Hunted,55000000,34234008,47213095,81447103,26447103,en,2.897,2014-09-09,5.2,10,2015,90.0,"Action,Comedy,Horror",6.5,53
32,Annihilation,55000000,32732301,43070915,75803216,20803216,en,25.197,2018-02-23,6.3,4465,2018,115.0,"Adventure,Drama,Horror",6.9,228664
33,Crimson Peak,55000000,31090320,74966854,106057174,51057174,en,9.897,2015-10-16,6.5,2986,2015,119.0,"Drama,Fantasy,Horror",6.5,119287
41,Turbulence,55000000,11532774,11532774,23065548,-31934452,en,1.073,2016-12-01,5.6,5,2011,90.0,Comedy,8.2,34
42,Bullet to the Head,55000000,9489829,22597969,32087798,-22912202,en,17.574,2013-02-01,5.4,681,2012,92.0,"Action,Crime,Thriller",5.7,44816
59,Black Mass,53000000,62575678,98837872,161413550,108413550,en,14.646,2015-09-18,6.4,2020,2015,123.0,"Biography,Crime,Drama",6.9,155847
65,Beloved,53000000,22852487,22852487,45704974,-7295026,fr,5.599,2011-08-17,6.7,31,2010,107.0,Comedy,6.4,506
66,Zero Dark Thirty,52500000,95720716,134612435,230333151,177833151,en,14.239,2012-12-19,6.9,2553,2012,157.0,"Drama,Thriller",7.4,251072
70,Valentine's Day,52000000,110485654,217569328,328054982,276054982,en,11.187,2010-02-11,5.8,1907,2010,125.0,"Comedy,Romance",5.7,107171
72,The Change-Up,52000000,37243418,75997067,113240485,61240485,en,12.122,2011-08-05,6.0,1406,2011,112.0,"Comedy,Fantasy",6.3,155374
79,Alpha,51000000,35851379,99624873,135476252,84476252,el,0.84,2015-01-25,7.0,1,2013,116.0,Crime,5.5,102
81,The Adjustment Bureau,50200000,62495645,126931325,189426970,139226970,en,13.717,2011-03-04,6.6,2615,2011,106.0,"Romance,Sci-Fi,Thriller",7.1,227616
84,Ted,50000000,218665740,556016627,774682367,724682367,en,14.475,2012-06-29,6.3,7727,2012,106.0,"Comedy,Fantasy",6.9,538367
85,22 Jump Street,50000000,191719337,331333876,523053213,473053213,en,11.176,2014-06-13,6.9,5167,2014,112.0,"Action,Comedy,Crime",7.0,319504
91,Central Intelligence,50000000,127440871,217194805,344635676,294635676,en,14.478,2016-06-17,6.3,3133,2016,107.0,"Action,Comedy,Crime",6.3,138872
92,Anchorman 2: The Legend Continues,50000000,127352707,172185754,299538461,249538461,en,12.08,2013-12-18,6.1,1408,2013,119.0,Comedy,6.3,156116
93,Super 8,50000000,127004179,257972745,384976924,334976924,en,14.39,2011-06-09,6.7,3934,2011,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575
96,Creed II,50000000,115715889,213591522,329307411,279307411,en,26.907,2018-11-21,6.7,2236,2018,130.0,"Drama,Sport",7.2,72503
97,Peter Rabbit,50000000,115234093,347136477,462370570,412370570,en,15.974,2018-02-09,6.5,650,2018,95.0,"Adventure,Animation,Comedy",6.6,27908
100,The Mule,50000000,103804407,170857676,274662083,224662083,en,6.161,2014-03-10,6.4,77,2013,100.0,"Comedy,Drama",6.2,653
2,Non-Stop,50000000,91742160,222383055,314125215,264125215,en,2.264,2013-11-29,5.6,23,2014,106.0,"Action,Mystery,Thriller",7.0,234717
7,The Emoji Movie,50000000,86089513,216562312,302651825,252651825,en,14.88,2017-07-23,5.4,1447,2017,86.0,"Adventure,Animation,Comedy",3.2,47294
9,The Post,50000000,81903458,179748880,261652338,211652338,en,15.551,2017-12-22,7.0,2506,2017,116.0,"Biography,Drama,History",7.2,108017
10,Payback,50000000,81526121,161626121,243152242,193152242,en,0.84,2012-03-16,5.0,1,2012,82.0,Documentary,6.4,186
14,We Bought a Zoo,50000000,75624550,118729073,194353623,144353623,en,9.931,2011-12-23,6.7,1523,2011,124.0,"Comedy,Drama,Family",7.1,126849
15,Moneyball,50000000,75605492,111300835,186906327,136906327,en,15.393,2011-09-22,7.1,2255,2011,133.0,"Biography,Drama,Sport",7.6,326657
26,American Reunion,50000000,56758835,236799211,293558046,243558046,en,17.199,2012-04-06,6.2,2679,2012,113.0,Comedy,6.7,192250
27,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,270653191,220653191,en,15.982,2013-01-25,5.9,4548,2013,88.0,"Action,Fantasy,Horror",6.1,183387
32,American Made,50000000,51342000,135569212,186911212,136911212,en,16.748,2017-09-29,6.7,2188,2017,115.0,"Action,Biography,Comedy",7.2,131043
35,The Book of Life,50000000,50151543,97651543,147803086,97803086,en,11.392,2014-10-17,7.4,1228,2014,95.0,"Adventure,Animation,Comedy",7.3,59486
40,Into the Storm,50000000,47602194,150429371,198031565,148031565,en,8.884,2014-08-08,5.8,1169,2014,89.0,"Action,Adventure,Drama",5.8,60894
41,The Judge,50000000,47119388,76119388,123238776,73238776,en,16.464,2014-10-10,7.3,2356,2014,141.0,"Crime,Drama",7.4,162952
45,War Dogs,50000000,43034523,86234503,129269026,79269026,en,10.654,2016-08-19,6.8,2387,2016,114.0,"Comedy,Crime,Drama",7.1,154029
56,The Nice Guys,50000000,36261763,59596747,95858510,45858510,en,13.743,2016-05-20,7.1,4272,2016,116.0,"Action,Comedy,Crime",7.4,240337
59,Marmaduke,50000000,33644788,89895930,123540718,73540718,en,8.487,2010-06-04,5.1,367,2010,87.0,"Comedy,Family",4.2,13283
61,Hereafter,50000000,32746941,108660270,141407211,91407211,en,7.886,2010-10-22,5.9,848,2010,129.0,"Drama,Fantasy,Romance",6.5,87288
63,Assassins,50000000,30306268,83306268,113612536,63612536,en,10.579,1995-10-06,6.2,666,2014,84.0,"Action,Drama,Thriller",4.4,73
64,Zoolander 2,50000000,28848693,55348693,84197386,34197386,en,12.997,2016-02-12,4.7,1374,2016,101.0,Comedy,4.7,59914
68,The Host,50000000,26623701,64477051,91100752,41100752,en,11.458,2013-03-29,6.2,2788,2013,125.0,"Action,Adventure,Drama",5.9,105633
70,Run All Night,50000000,26461644,66961644,93423288,43423288,en,17.592,2015-03-13,6.4,1684,2015,114.0,"Action,Drama,Thriller",6.6,94131
78,Your Highness,50000000,21596445,26121638,47718083,-2281917,en,0.6,2010-01-01,3.0,4,2011,102.0,"Adventure,Comedy,Fantasy",5.5,92940
79,Snowden,50000000,21587519,35380918,56968437,6968437,en,13.703,2016-09-16,7.1,2427,2016,134.0,"Biography,Drama,Thriller",7.3,119149
80,Dream House,50000000,21302340,41642166,62944506,12944506,en,9.047,2011-09-30,6.0,670,2011,84.0,"Drama,Mystery,Thriller",6.0,59714
81,Free State of Jones,50000000,20810036,23237252,44047288,-5952712,en,8.574,2016-06-24,6.6,787,2016,139.0,"Action,Biography,Drama",6.9,45135
85,Beautiful Creatures,50000000,19452138,60282876,79735014,29735014,en,11.198,2013-02-14,5.7,1826,2013,124.0,"Drama,Fantasy,Romance",6.2,79764
90,Fair Game,50000000,11497497,26097497,37594994,-12405006,en,11.624,2010-05-20,6.6,384,2010,108.0,"Biography,Drama,Thriller",6.8,43862
91,Drive Angry,50000000,10721033,41042583,51763616,1763616,en,14.096,2011-02-24,5.3,959,2011,104.0,"Action,Fantasy,Thriller",5.4,90203
98,Early Man,50000000,8267544,45285890,53553434,3553434,en,16.675,2018-02-16,5.9,338,2018,89.0,"Adventure,Animation,Comedy",6.1,15882
2,Child 44,50000000,1224330,8004221,9228551,-40771449,en,26.386,2015-04-17,6.2,903,2015,137.0,"Crime,Drama,History",6.5,59477
4,Upside Down,50000000,102118,26387039,26489157,-23510843,en,12.454,2013-03-14,6.2,1645,2012,109.0,"Drama,Fantasy,Romance",6.4,66347
5,Shanghai,50000000,46425,15505922,15552347,-34447653,en,6.824,2010-10-02,6.1,80,2010,105.0,"Crime,Drama,Mystery",6.4,8662
